,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,tmdb_ratings,images
67,67,67,67,Ryan Justice,Amanda Delaney,Justin Maina,Sean Michael Gloria,Thriller,followers,5.3,https://m.media-amazon.com/images/M/MV5BMzhhM2IwYTAtZWQ4MS00NWE0LWI3NjMtZWIwNWI4YjFmZWFjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg
68,68,68,68,Steven Spielberg,Tye Sheridan,Olivia Cooke,Ben Mendelsohn,Adventure Science Fiction,ready player one,7.6,https://m.media-amazon.com/images/M/MV5BY2JiYTNmZTctYTQ1OC00YjU4LWEwMjYtZjkwY2Y5MDI0OTU3XkEyXkFqcGdeQXVyNTI4MzE4MDU@.jpg
69,69,69,69,Tyler Perry,Taraji P. Henson,Lyriq Bent,Tika Sumpter,Thriller,tyler perry's acrimony,6.6,https://m.media-amazon.com/images/M/MV5BNzk0MzYxMzc2MV5BMl5BanBnXkFtZTgwNzU5OTc4NDM@.jpg
70,70,70,70,Michael Mason,David A. R. White,John Corbett,Shane Harper,Drama,god's not dead: a light in darkness,6.9,https://m.media-amazon.com/images/M/MV5BZTI4Y2Q1MGQtYjE3Yy00N2VkLTg5YTgtOGI4Y2QxMTA3NTgxXkEyXkFqcGdeQXVyNTQ3MjE4NTU@.jpg
71,71,71,71,Aaron Katz,Lola Kirke,Zoýý Kravitz,Greta Lee,Action Drama Science Fiction Thriller,gemini,6.4,https://m.media-amazon.com/images/M/MV5BYTY4MTVhZGEtNGUyMS00Y2ZhLTlmN2EtMWI1YTYxMGYyN2I1XkEyXkFqcGdeQXVyMTAwMzUyOTc@.jpg
72,72,72,72,Adam Rifkin,Burt Reynolds,Ariel Winter,Clark Duke,Drama,the last movie star,6.2,https://m.media-amazon.com/images/M/MV5BNzc4ODYwMjEwNV5BMl5BanBnXkFtZTgwNTg1Mjg1NDM@.jpg
73,73,73,73,John Krasinski,John Krasinski,Emily Blunt,Millicent Simmonds,Horror Drama Science Fiction,a quiet place,7.3,https://m.media-amazon.com/images/M/MV5BMjI0MDMzNTQ0M15BMl5BanBnXkFtZTgwMTM5NzM3NDM@.jpg
74,74,74,74,Kay Cannon,Leslie Mann,Ike Barinholtz,John Cena,Comedy,blockers,6.3,https://m.media-amazon.com/images/M/MV5BMjE0ODIzNjkzMl5BMl5BanBnXkFtZTgwODQ3MzU4NDM@.jpg
75,75,75,75,Lynne Ramsay,Joaquin Phoenix,Ekaterina Samsonov,Alex Manette,Thriller Drama,you were never really here,6.6,https://m.media-amazon.com/images/M/MV5BMDkwOTE0ZjMtZmRiYS00M2M3LWE3MzUtNzNmNmExNTNmNjg5XkEyXkFqcGdeQXVyODE1MjMyNzI@.jpg
76,76,76,76,John Curran,Jason Clarke,Kate Mara,Ed Helms,Drama Thriller History,chappaquiddick,6.0,https://m.media-amazon.com/images/M/MV5BMTU1ODM2Nzk1OV5BMl5BanBnXkFtZTgwMzA4MTc5NDM@.jpg
77,77,77,77,"Drew Fellman, David Douglas",Kristen Bell,unknown,unknown,Documentary,pandas,8.0,https://m.media-amazon.com/images/M/MV5BMTg3NzY4NTI3N15BMl5BanBnXkFtZTgwMzc0MDc4NDM@.jpg
78,78,78,78,Andrew Haigh,Charlie Plummer,Chloýý Sevigny,Travis Fimmel,Drama Adventure,lean on pete,6.8,https://m.media-amazon.com/images/M/MV5BNWRiYzYxNTEtYmU5My00M2Q5LTk5Y2ItZjhkMTZmNjVhYmFhXkEyXkFqcGdeQXVyNTAzMTY4MDA@.jpg
